,RedFighter_ID,BlueFighter_ID,RedFighter,BlueFighter,Winner,source,Skill_Diff,BlueFighter_Skill,RedFighter_Skill,BlueOdds,RedOdds,SigStrDif,RedAvgSigStrLanded,RecencyWeight,BlueAvgSigStrPct,AvgTDDif,BlueAvgSigStrLanded,MonthsAgo,RedAvgSigStrPct,Time_Since_Last_Fight_Red,AvgSubAttDif,RedAvgTDLanded,BlueAge,RedAvgTDPct,Time_Since_Last_Fight_Blue,RedAge,RedTotalRoundsFought,BlueAvgTDLanded,BlueTotalRoundsFought,TotalRoundDif,BlueAvgTDPct,AgeDif,TotalFightTimeSecs,RedAvgSubAtt,ReachDif,BlueAvgSubAtt,RedAvgSubAtt,RedReachCms
0,330,763,Colby Covington,Joaquin Buckley,0.0,upcoming,-0.22000671316211837,1.7673017803554996,1.4923170754577952,-1.2614871984317124,1.186185295440141,0.03510311207950904,-0.9148576664242399,1.8754909044867873,-0.9247038100745558,-0.9654202672664697,-0.8530673782041027,-1.558104772548157,-0.886924403130813,0.6924396214530762,-0.17791742153321044,1.7943521422494693,-0.0365864856622401,0.4906776886452648,-0.8335103922226579,1.273374974453533,2.1542971772636785,0.45203308407913484,1.3921730407540123,-0.9910036588464742,0.6066931466952978,-1.1755282213681801,-1.7664142865670822,-0.5164854226228592,1.184886987584995,-0.7601807980065133,-0.5164854226228592,-0.17805964913700864
1,347,157,Cub Swanson,Billy Quarantillo,0.0,upcoming,0.6175107781621261,-0.047883372369673785,0.7297447777315291,-0.8489254521293584,0.8866036054394795,0.1748798389571175,-0.8734687163311616,1.8754909044867873,0.9832024598799326,0.1618974221339312,-0.6895350596510251,-1.558104772548157,0.3939107875317658,-0.3435515815939863,0.8294030691551312,-0.3004590361321703,1.491307101882198,0.779612974086828,0.2260082929128776,2.4797912249599467,3.512469195122695,-0.07537410424244727,0.9712566430825875,-2.622438486784031,-0.39103441346537815,-0.9832146553976615,-1.7664142865670822,-0.2153282037976842,0.02197647121592339,0.9056797412596294,-0.2153282037976842,-0.692981114239564
2,1017,205,Manel Kape,Bruno Silva,0.0,upcoming,1.4295673061639322,-0.6170229131248318,1.1826256050124315,1.0035576832282707,-1.032938334194389,-0.04337808292963999,-0.8855186638266147,1.8754909044867873,0.22003995189813683,1.005997366906645,-0.8940770308443481,-1.558104772548157,0.7141195851974108,-0.49155032488642386,-0.17791742153321044,-0.6813337958379229,0.9820092393673853,-0.03903700133093433,-0.9470302513443224,0.06695872394711892,-0.16591335324547493,0.6717860792131273,0.129423847739738,0.25976304257231947,-0.1741371177782746,0.5552938723664871,-1.7664142865670822,-0.2153282037976842,-0.8502064160608803,-0.45729706359448735,-0.2153282037976842,-1.2079025793421223
3,1596,475,Vitor Petrino,Dustin Jacoby,0.0,upcoming,1.0100446079421024,-0.03570900575889306,1.2362853431417262,0.8417687631097004,-0.829518668144557,0.17430698351909454,-0.9703922070554588,1.8754909044867873,0.12464463840041234,-1.9594590180185474,-0.7837053731212184,-1.558104772548157,-0.1397705419109753,-0.0475540950091113,-0.8494644153254381,1.939084550937655,1.491307101882198,1.5501070685976635,-0.19023119053322562,-0.8981742764580123,-0.335684855477852,-0.7199828899688254,1.4623257736992499,1.4561485830598613,-0.30427549519053676,1.7091752681895984,-1.7664142865670822,0.3869862338526658,-0.26875115787634446,-0.7601807980065133,0.3869862338526658,1.1092440136193855
4,18,381,Adrian Yanez,Daniel Marcos,0.0,upcoming,-0.0718093799044976,0.8252915363050064,0.7358311876617469,-1.1603691233576061,1.1122145077856567,-0.011871033838375775,-0.7770691363675362,1.8754909044867873,0.6016212058890347,0.1896638676856652,-0.7614285247734306,-1.558104772548157,-0.5667156054651686,-0.12155346665533005,0.04593157639753214,-1.0926785363201357,0.21806244559516624,-1.628181071259532,-0.19023119053322562,0.06695872394711892,-0.2790943547337263,-0.8005589881846227,-0.08103435109597439,0.20538188164106758,0.7802109832449806,-0.021646825545068665,-1.7664142865670822,-0.8176426414480342,-0.26875115787634446,-0.7601807980065133,-0.8176426414480342,-0.692981114239564
5,1187,1563,Navajo Stirling,Tuco Tokkos,0.0,upcoming,1.2419773661799856,-1.3644059844805436,0.1981109585393794,1.8731731288655855,-2.3459198150614857,-0.1974761957578231,-0.747730133769911,1.8754909044867873,-0.25693661559048503,1.1392763055549684,-0.8971147828917736,-1.558104772548157,2.3151635735256346,-0.2695522099477676,0.04593157639753214,-1.0926785363201357,0.9820092393673853,-1.628181071259532,-0.07671133141156111,-0.8981742764580123,-1.0147708644073603,0.45203308407913484,-0.8527144134935865,0.31414420350357136,2.949183940116015,1.3245481362485614,-1.7664142865670822,-0.8176426414480342,-0.8502064160608803,-0.7601807980065133,-0.8176426414480342,1.624165478721941
6,1105,1229,Michael Johnson,Ottman Azaitar,0.0,upcoming,1.3944845714755632,-1.4437128275696507,0.3107758993401525,0.51819092287256,-0.42267933604489316,0.10441862008029028,-0.8944251467580366,1.8754909044867873,0.5062258923913102,-0.29347228491450655,-0.7720606569394203,-1.558104772548157,-0.7801881372422647,0.39644213486820123,0.04593157639753214,-0.6203938342850025,0.9820092393673853,0.34621004592448307,1.5882466023728519,1.7559414746560984,3.0597451891696896,-0.9836864841296165,-0.7124089476031116,-3.4925370616840623,-1.3887619736260541,-0.790901089427143,-1.7664142865670822,-0.8176426414480342,-0.5594787869686124,-0.7601807980065133,-0.8176426414480342,0.07940108341426905
7,775,468,Joel Alvarez,Drakkar Klose,0.0,upcoming,0.47364119502409774,1.1505971440410063,1.7484543713454637,1.0844521432875558,-1.1438945156761156,0.019636015252888425,-0.8881382176299741,1.8754909044867873,0.8878071463822081,0.9282513193617901,-0.8409163700144002,-1.558104772548157,0.6073833193088625,-0.5285500107095332,-1.297162411186923,-1.0926785363201357,1.491307101882198,-1.628181071259532,-0.001031425330451431,0.06695872394711892,-0.2790943547337263,0.17367929024274437,1.0414093760278251,1.075480456541098,-0.26089603605311606,0.9399210043075242,-1.7664142865670822,0.9893006715030156,-2.013116932429952,-0.7601807980065133,0.9893006715030156,1.1092440136193855
8,1419,536,Sean Woodson,Fernando Padilla,0.0,upcoming,1.4446030442149136,0.06144606057668843,1.880832269834726,0.27550754269470457,-0.1452888823405769,0.07233871555100309,-0.8257928371100207,1.8754909044867873,-0.3523319290882095,-0.31568544135589377,-0.7340887563466003,-1.558104772548157,-0.033034276022426944,-0.08455378083222068,0.49362957225901727,-0.5899238535085423,-0.8005332794344592,1.3574835449699543,0.2260082929128776,0.3082419740484017,0.2302201519634049,-0.9836864841296165,-0.6422562146578741,-0.7190978541902148,-1.3887619736260541,-0.9832146553976615,-1.7664142865670822,-0.2153282037976842,-0.5594787869686124,0.45135413964159043,-0.2153282037976842,1.3667047461706632
9,1147,532,Miles Johns,Felipe Lima,0.0,upcoming,0.8828347157431717,0.19733319393268503,1.3093965542833246,-1.2938449824554266,1.204677992353762,0.021354581566957385,-0.9462923120645524,1.8754909044867873,0.6016212058890347,0.22298360234774603,-0.8955959068680609,-1.558104772548157,0.0737019898661208,-0.2695522099477676,1.5009500629473589,-0.3156940265204004,-1.0551822106918656,-0.6650634531209879,-0.2659110966143353,-0.17432452615416388,0.5131726556840334,-0.009448205702249437,-0.782561680548349,-1.0997659807089781,0.7802109832449806,-0.790901089427143,-1.7664142865670822,-0.8176426414480342,0.6034317294004592,1.2085634756716552,-0.8176426414480342,-1.7228240444446805
