RedFighter_ID,BlueFighter_ID,RedFighter,BlueFighter,Winner,source,Skill_Diff,BlueFighter_Skill,RedFighter_Skill,BlueOdds,RedOdds,SigStrDif,RedAvgSigStrLanded,RecencyWeight,BlueAvgSigStrPct,AvgTDDif,BlueAvgSigStrLanded,MonthsAgo,RedAvgSigStrPct,Time_Since_Last_Fight_Red,AvgSubAttDif,RedAvgTDLanded,BlueAge,RedAvgTDPct,Time_Since_Last_Fight_Blue,RedAge,RedTotalRoundsFought,BlueAvgTDLanded,BlueTotalRoundsFought,TotalRoundDif,BlueAvgTDPct,AgeDif,TotalFightTimeSecs,RedAvgSubAtt,ReachDif,BlueAvgSubAtt,RedAvgSubAtt.1,RedReachCms
330,763,Colby Covington,Joaquin Buckley,1,upcoming,-0.220006713,1.7673017803554996,1.4923170754577952,-1.261487198,1.186185295440141,0.035103112,-0.914857666,1.8754909044867876,-0.92470381,-0.965420267,-0.853067378,-1.558104773,-0.886924403,0.6924396214530762,-0.177917422,1.7943521422494693,-0.036586486,0.4906776886452648,-0.833510392,1.273374974453533,2.1542971772636785,0.4520330840791348,1.3921730407540125,-0.991003659,0.6066931466952978,-1.175528221,-1.766414287,-0.516485423,1.184886987584995,-0.760180798,-0.516485423,-0.178059649
347,157,Cub Swanson,Billy Quarantillo,0,upcoming,0.6175107781621261,-0.047883372,0.7297447777315291,-0.848925452,0.8866036054394795,0.1748798389571175,-0.873468716,1.8754909044867876,0.9832024598799326,0.1618974221339312,-0.68953506,-1.558104773,0.3939107875317658,-0.343551582,0.8294030691551312,-0.300459036,1.491307101882198,0.779612974,0.2260082929128776,2.4797912249599467,3.512469195122695,-0.075374104,0.9712566430825876,-2.622438487,-0.391034413,-0.983214655,-1.766414287,-0.215328204,0.021976471,0.9056797412596294,-0.215328204,-0.692981114
1017,205,Manel Kape,Bruno Silva,0,upcoming,1.4295673061639322,-0.617022913,1.1826256050124315,1.0035576832282709,-1.032938334,-0.043378083,-0.885518664,1.8754909044867876,0.2200399518981368,1.005997366906645,-0.894077031,-1.558104773,0.7141195851974108,-0.491550325,-0.177917422,-0.681333796,0.9820092393673852,-0.039037001,-0.947030251,0.066958724,-0.165913353,0.6717860792131273,0.129423848,0.2597630425723194,-0.174137118,0.5552938723664871,-1.766414287,-0.215328204,-0.850206416,-0.457297064,-0.215328204,-1.207902579
1596,475,Vitor Petrino,Dustin Jacoby,1,upcoming,1.0100446079421024,-0.035709006,1.2362853431417262,0.8417687631097004,-0.829518668,0.1743069835190945,-0.970392207,1.8754909044867876,0.1246446384004123,-1.959459018,-0.783705373,-1.558104773,-0.139770542,-0.047554095,-0.849464415,1.939084550937655,1.491307101882198,1.5501070685976637,-0.190231191,-0.898174276,-0.335684855,-0.71998289,1.462325774,1.4561485830598613,-0.304275495,1.7091752681895984,-1.766414287,0.3869862338526658,-0.268751158,-0.760180798,0.3869862338526658,1.1092440136193855
18,381,Adrian Yanez,Daniel Marcos,1,upcoming,-0.07180938,0.8252915363050064,0.7358311876617469,-1.160369123,1.112214507785657,-0.011871034,-0.777069136,1.8754909044867876,0.6016212058890347,0.1896638676856652,-0.761428525,-1.558104773,-0.566715605,-0.121553467,0.045931576,-1.092678536,0.2180624455951662,-1.628181071,-0.190231191,0.066958724,-0.279094355,-0.800558988,-0.081034351,0.2053818816410675,0.7802109832449806,-0.021646826,-1.766414287,-0.817642641,-0.268751158,-0.760180798,-0.817642641,-0.692981114
1187,1563,Navajo Stirling,Tuco Tokkos,0,upcoming,1.2419773661799856,-1.364405984,0.1981109585393794,1.8731731288655853,-2.345919815,-0.197476196,-0.747730134,1.8754909044867876,-0.256936616,1.1392763055549684,-0.897114783,-1.558104773,2.3151635735256346,-0.26955221,0.045931576,-1.092678536,0.9820092393673852,-1.628181071,-0.076711331,-0.898174276,-1.014770864,0.4520330840791348,-0.852714413,0.3141442035035713,2.949183940116015,1.3245481362485614,-1.766414287,-0.817642641,-0.850206416,-0.760180798,-0.817642641,1.624165478721941
1105,1229,Michael Johnson,Ottman Azaitar,0,upcoming,1.3944845714755632,-1.443712828,0.3107758993401525,0.518190923,-0.422679336,0.1044186200802902,-0.894425147,1.8754909044867876,0.5062258923913102,-0.293472285,-0.772060657,-1.558104773,-0.780188137,0.3964421348682012,0.045931576,-0.620393834,0.9820092393673852,0.346210046,1.588246602372852,1.7559414746560984,3.0597451891696896,-0.983686484,-0.712408948,-3.492537062,-1.388761974,-0.790901089,-1.766414287,-0.817642641,-0.559478787,-0.760180798,-0.817642641,0.079401083
775,468,Joel Alvarez,Drakkar Klose,0,upcoming,0.4736411950240977,1.1505971440410063,1.7484543713454637,1.0844521432875558,-1.143894516,0.019636015,-0.888138218,1.8754909044867876,0.8878071463822081,0.928251319,-0.84091637,-1.558104773,0.6073833193088625,-0.528550011,-1.297162411,-1.092678536,1.491307101882198,-1.628181071,-0.001031425,0.066958724,-0.279094355,0.1736792902427443,1.0414093760278251,1.075480456541098,-0.260896036,0.9399210043075242,-1.766414287,0.9893006715030156,-2.013116932,-0.760180798,0.9893006715030156,1.1092440136193855
1419,536,Sean Woodson,Fernando Padilla,0,upcoming,1.4446030442149136,0.061446061,1.880832269834726,0.2755075426947045,-0.145288882,0.072338716,-0.825792837,1.8754909044867876,-0.352331929,-0.315685441,-0.734088756,-1.558104773,-0.033034276,-0.084553781,0.4936295722590172,-0.589923854,-0.800533279,1.3574835449699545,0.2260082929128776,0.3082419740484017,0.2302201519634049,-0.983686484,-0.642256215,-0.719097854,-1.388761974,-0.983214655,-1.766414287,-0.215328204,-0.559478787,0.4513541396415904,-0.215328204,1.3667047461706632
1147,532,Miles Johns,Felipe Lima,1,upcoming,0.8828347157431717,0.197333194,1.3093965542833246,-1.293844982,1.204677992353762,0.021354582,-0.946292312,1.8754909044867876,0.6016212058890347,0.222983602,-0.895595907,-1.558104773,0.07370199,-0.26955221,1.5009500629473589,-0.315694027,-1.055182211,-0.665063453,-0.265911097,-0.174324526,0.5131726556840334,-0.009448206,-0.782561681,-1.099765981,0.7802109832449806,-0.790901089,-1.766414287,-0.817642641,0.6034317294004592,1.2085634756716552,-0.817642641,-1.722824044
